Title,Rating,Year,Actors,Runtime
Aloko Udapadi,9.6,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",113 min
Dag II,9.4,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",135 min
Aynabaji,9.4,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",147 min
Wheels,9.4,(II) (2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",115 min
The Dark Knight,9,(2008),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",152 min
Ayla: The Daughter of War,8.9,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",125 min
Aruvi,8.9,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",130 min
Vikram Vedha,8.8,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",147 min
Drishyam,8.8,(2013),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",160 min
The Phantom of the Opera at the Royal Albert Hall,8.8,(2011),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",137 min
Inception,8.8,(2010),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",148 min
RangiTaranga,8.6,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",149 min
Interstellar,8.6,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",169 min
Cyborgs: Heroes Never Die,8.5,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",112 min
Arjun Reddy,8.5,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",182 min
Dhuruvangal Pathinaaru,8.5,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",105 min
Dangal,8.5,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",161 min
Thani Oruvan,8.5,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",160 min
Ulidavaru Kandanthe,8.5,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",154 min
Whiplash,8.5,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",106 min
The Intouchables,8.5,(2011),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",112 min
Theeran Adhigaaram Ondru,8.4,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",157 min
Sairat,8.4,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",174 min
Kimi no na wa.,8.4,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",106 min
Jigarthanda,8.4,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",171 min
Soodhu Kavvum,8.4,(2013),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",135 min
Coco,8.4,(I) (2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",105 min
Lucia,8.4,(I) (2013),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",135 min
Vishwaroopam,8.4,(2013),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",148 min
Django Unchained,8.4,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",165 min
The Dark Knight Rises,8.4,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",164 min
3 Idiots,8.4,(2009),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",170 min
WALL·E,8.4,(2008),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",98 min
Abad va yek rooz,8.3,(2016),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",95 min
Baahubali 2: The Conclusion,8.3,(2017),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",167 min
Uppi 2,8.3,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",135 min
Premam,8.3,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",156 min
Drishyam,8.3,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",163 min
Chaar Sahibzaade,8.3,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",135 min
Bangalore Days,8.3,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",171 min
Bilal: A New Breed of Hero,8.3,(2015),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",105 min
Queen,8.3,(2013),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",146 min
It's Such a Beautiful Day,8.3,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",62 min
1 - Nenokkadine,8.3,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",170 min
Ustad Hotel,8.3,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",151 min
Shahid,8.3,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",129 min
Jagten,8.3,(2012),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",115 min
Bol,8.3,(2011),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",165 min
Jodaeiye Nader az Simin,8.3,(2011),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",123 min
"Montevideo, vidimo se!",8.3,(2014),"['Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris']",141 min
