Year,Estimated Emissions,Projected Emissions - Business As Usual,2020 Goal,Projected Progress under Current Programs,Projected Progress under Enhanced Programs
2006,107229536.5,107229536.6,80400000,,
2007,109120613.2,109087677.6,80400000,,
2008,107167938.9,110944370.5,80400000,,
2010,100126383.9,115750950.4,80400000,,
2009,98489353.1,113828287.4,80400000,,
2011,99283829.7,117655483.4,80400000,,
2012,98284400,119699499.6,80400000,98280000,98280000
2013,96799100,121502998.9,80400000,97193750,96021250
2014,93420808,123453222.4,80400000,96107500,93762500
2015,,125263220.5,80400000,95021250,91503750
2016,,127380964.8,80400000,93935000,89245000
2017,,129350013.6,80400000,92848750,86986250
2018,,131476934.6,80400000,91762500,84727500
2019,,133499635.9,80400000,90676250,82468750
2020,,135679730.3,80400000,89590000,80210000
